Zipcode,Population density (per square mile of land area)
02021,1147.1
02026,2412.2
02108,27919.1
02109,21720.8
02110,9355.4
02111,28541.5
02113,68664.8
02114,26693.9
02115,40159.2
02116,32724.1
02118,24074.6
02119,15871.3
02120,24456.0
02121,14884.4
02122,11553.7
02124,15913.2
02125,15611.3
02126,12277.3
02127,15744.4
02128,8352.4
02129,12192.0
02130,10617.5
02131,11504.8
02132,5669.8
02134,16212.0
02135,16236.4
02136,6206.9
02151,8833.3
02152,8871.2
02163,26048.5
02186,2075.5
02199,19926.9
02203,0.0
02210,2255.8
02215,34190.0
02459,3815.3
02467,4616.3
